date,year,short,teamnum
2005-11-06,2005,STL,14
2005-11-06,2005,WSH,14
2005-11-06,2005,PHX,17
2005-11-06,2005,MIN,16
2005-11-06,2005,DET,16
2005-11-06,2005,TOR,15
2005-11-07,2005,CGY,17
2005-11-07,2005,DAL,15
2005-11-07,2005,NYR,16
2005-11-07,2005,VAN,16
2005-11-07,2005,EDM,16
2005-11-07,2005,PIT,15
2005-11-08,2005,COL,14
2005-11-08,2005,MIN,17
2005-11-08,2005,MTL,16
2005-11-08,2005,NJD,15
2005-11-08,2005,NSH,14
2005-11-08,2005,PHI,13
2005-11-08,2005,TOR,16
2005-11-08,2005,SJS,16
2005-11-08,2005,PHX,18
2005-11-08,2005,TBL,16
2005-11-08,2005,NYI,15
2005-11-08,2005,EDM,17
2005-11-08,2005,BOS,17
2005-11-08,2005,WSH,15
2005-11-09,2005,ATL,15
2005-11-09,2005,BUF,15
2005-11-09,2005,CBJ,16
2005-11-09,2005,DET,17
2005-11-09,2005,FLA,16
2005-11-09,2005,PIT,16
2005-11-09,2005,CAR,14
2005-11-09,2005,STL,15
2005-11-09,2005,LAK,16
2005-11-09,2005,NYR,17
2005-11-10,2005,BOS,18
2005-11-10,2005,NSH,15
2005-11-10,2005,PHI,14
2005-11-10,2005,PHX,19
2005-11-10,2005,PIT,17
2005-11-10,2005,STL,16
2005-11-10,2005,TBL,17
2005-11-10,2005,VAN,17
2005-11-10,2005,OTT,14
2005-11-10,2005,DAL,16
2005-11-10,2005,NYI,16
2005-11-10,2005,CGY,18
2005-11-10,2005,MTL,17
2005-11-10,2005,CHI,16
2005-11-10,2005,NYR,18
2005-11-10,2005,COL,15
2005-11-11,2005,ATL,16
2005-11-11,2005,BUF,16
2005-11-11,2005,CBJ,17
2005-11-11,2005,CHI,17
2005-11-11,2005,DET,18
2005-11-11,2005,FLA,17
2005-11-11,2005,WSH,16
2005-11-11,2005,TBL,18
2005-11-11,2005,TOR,17
2005-11-11,2005,EDM,18
2005-11-11,2005,LAK,17
2005-11-11,2005,MIN,18
2005-11-11,2005,CAR,15
2005-11-11,2005,NJD,16
2005-11-12,2005,CAR,16
2005-11-12,2005,CGY,19
2005-11-12,2005,MTL,18
2005-11-12,2005,NJD,17
2005-11-12,2005,NSH,16
2005-11-12,2005,NYI,17
2005-11-12,2005,OTT,15
2005-11-12,2005,PHI,15
2005-11-12,2005,PHX,20
2005-11-12,2005,PIT,18
2005-11-12,2005,SJS,17
2005-11-12,2005,ATL,17
2005-11-12,2005,COL,16
2005-11-12,2005,TOR,18
2005-11-12,2005,WSH,17
2005-11-12,2005,STL,17
2005-11-12,2005,BOS,19
2005-11-12,2005,BUF,17
2005-11-12,2005,FLA,18
2005-11-12,2005,MDA,17
2005-11-12,2005,NYR,19
2005-11-12,2005,DAL,17
2005-11-13,2005,CBJ,18
2005-11-13,2005,CHI,18
2005-11-13,2005,MDA,18
2005-11-13,2005,VAN,18
2005-11-13,2005,LAK,18
2005-11-13,2005,EDM,19
2005-11-13,2005,DAL,18
2005-11-13,2005,DET,19
2005-11-14,2005,CGY,20
2005-11-14,2005,COL,17
2005-11-14,2005,PIT,19
2005-11-14,2005,TBL,19
2005-11-14,2005,MIN,19
2005-11-14,2005,EDM,20
2005-11-14,2005,NYI,18
2005-11-14,2005,PHI,16
2005-11-15,2005,BUF,18
2005-11-15,2005,MTL,19
2005-11-15,2005,NSH,17
2005-11-15,2005,OTT,16
2005-11-15,2005,TOR,19
2005-11-15,2005,WSH,18
2005-11-15,2005,NJD,18
2005-11-15,2005,FLA,19
2005-11-15,2005,LAK,19
2005-11-15,2005,CAR,17
2005-11-15,2005,NYR,20
2005-11-15,2005,TBL,20
2005-11-16,2005,ATL,18
2005-11-16,2005,CBJ,19
2005-11-16,2005,CGY,21
2005-11-16,2005,MDA,19
2005-11-16,2005,PHI,17
2005-11-16,2005,PHX,21
2005-11-16,2005,SJS,18
2005-11-16,2005,NYI,19
2005-11-16,2005,STL,18
2005-11-16,2005,DET,20
2005-11-16,2005,DAL,19
2005-11-16,2005,PIT,20
2005-11-16,2005,COL,18
2005-11-16,2005,VAN,19
2005-11-17,2005,BOS,20
2005-11-17,2005,BUF,19
2005-11-17,2005,CAR,18
2005-11-17,2005,EDM,21
2005-11-17,2005,LAK,20
2005-11-17,2005,OTT,17
2005-11-17,2005,TBL,21
2005-11-17,2005,TOR,20
2005-11-17,2005,WSH,19
2005-11-17,2005,NYR,21
2005-11-17,2005,DET,21
2005-11-17,2005,VAN,20
2005-11-17,2005,FLA,20
2005-11-17,2005,NYI,20
2005-11-18,2005,CGY,22
2005-11-18,2005,DAL,20
2005-11-18,2005,MDA,20
2005-11-18,2005,NJD,19
2005-11-18,2005,PHI,18
2005-11-18,2005,CHI,19
2005-11-18,2005,CBJ,20
2005-11-18,2005,COL,19
2005-11-18,2005,MTL,20
2005-11-18,2005,ATL,19
2005-11-19,2005,BOS,21
2005-11-19,2005,DET,22
2005-11-19,2005,EDM,22
2005-11-19,2005,FLA,21
2005-11-19,2005,LAK,21
2005-11-19,2005,MIN,20
2005-11-19,2005,MTL,21
2005-11-19,2005,NYR,22
2005-11-19,2005,OTT,18
2005-11-19,2005,PIT,21
2005-11-19,2005,SJS,19
2005-11-19,2005,TOR,21
2005-11-19,2005,BUF,20
2005-11-19,2005,STL,19
2005-11-19,2005,CHI,20
2005-11-19,2005,NYI,21
2005-11-19,2005,COL,20
2005-11-19,2005,NSH,18
2005-11-19,2005,WSH,20
2005-11-19,2005,CAR,19
2005-11-19,2005,NJD,20
2005-11-19,2005,PHI,19
2005-11-19,2005,PHX,22
2005-11-19,2005,ATL,20
2005-11-20,2005,CAR,20
2005-11-20,2005,MDA,21
2005-11-20,2005,NYR,23
2005-11-20,2005,PHX,23
2005-11-20,2005,TBL,22
2005-11-20,2005,VAN,21
2005-11-20,2005,BOS,22
2005-11-20,2005,CBJ,21
2005-11-21,2005,COL,21
2005-11-21,2005,EDM,23
2005-11-21,2005,CGY,23
2005-11-21,2005,SJS,20
2005-11-22,2005,BUF,21
2005-11-22,2005,CAR,21
2005-11-22,2005,MTL,22
2005-11-22,2005,PHI,20
2005-11-22,2005,PHX,24
2005-11-22,2005,PIT,22
2005-11-22,2005,STL,20
2005-11-22,2005,VAN,22
2005-11-22,2005,NYR,24
2005-11-22,2005,OTT,19
2005-11-22,2005,ATL,21
2005-11-22,2005,TBL,23
2005-11-22,2005,MDA,22
2005-11-22,2005,WSH,21
2005-11-22,2005,LAK,22
2005-11-22,2005,CHI,21
2005-11-23,2005,CBJ,22
2005-11-23,2005,CGY,24
2005-11-23,2005,DAL,21
2005-11-23,2005,DET,23
2005-11-23,2005,FLA,22
2005-11-23,2005,MIN,21
2005-11-23,2005,NYI,22
2005-11-23,2005,TOR,22
2005-11-23,2005,WSH,22
2005-11-23,2005,NSH,19
2005-11-23,2005,SJS,21
2005-11-23,2005,MDA,23
2005-11-23,2005,COL,22
2005-11-23,2005,NJD,21
2005-11-23,2005,EDM,24
2005-11-23,2005,BUF,22
2005-11-23,2005,BOS,23
2005-11-23,2005,TBL,24
2005-11-24,2005,ATL,22
2005-11-24,2005,NSH,20
2005-11-24,2005,VAN,23
2005-11-24,2005,NYR,25
2005-11-24,2005,LAK,23
2005-11-24,2005,SJS,22
2005-11-25,2005,BOS,24
2005-11-25,2005,BUF,23
2005-11-25,2005,CAR,22
2005-11-25,2005,CBJ,23
2005-11-25,2005,CGY,25
2005-11-25,2005,DAL,22
2005-11-25,2005,FLA,23
2005-11-25,2005,MDA,24
2005-11-25,2005,MIN,22
2005-11-25,2005,NYI,23
2005-11-25,2005,TBL,25
2005-11-25,2005,PHI,21
2005-11-25,2005,MTL,23
2005-11-25,2005,TOR,23
2005-11-25,2005,COL,23
2005-11-25,2005,EDM,25
2005-11-25,2005,PHX,25
2005-11-25,2005,PIT,23
2005-11-25,2005,DET,24
2005-11-25,2005,STL,21
2005-11-25,2005,OTT,20
2005-11-25,2005,NJD,22
2005-11-26,2005,ATL,23
2005-11-26,2005,LAK,24
2005-11-26,2005,NSH,21
2005-11-26,2005,NYR,26
2005-11-26,2005,OTT,21
2005-11-26,2005,PHI,22
2005-11-26,2005,PHX,26
2005-11-26,2005,SJS,23
2005-11-26,2005,STL,22
2005-11-26,2005,TOR,24
2005-11-26,2005,FLA,24
2005-11-26,2005,CHI,22
2005-11-26,2005,DAL,23
2005-11-26,2005,WSH,23
2005-11-26,2005,BOS,25
2005-11-26,2005,NYI,24
2005-11-26,2005,VAN,24
2005-11-26,2005,DET,25
2005-11-26,2005,CBJ,24
2005-11-26,2005,MTL,24
2005-11-27,2005,CAR,23
2005-11-27,2005,COL,24
2005-11-27,2005,MDA,25
2005-11-27,2005,TBL,26
2005-11-27,2005,WSH,24
2005-11-27,2005,ATL,24
